fname,gender,ID_speaker,emotion,sentence,type
gio-f1-b1.wav,female,4,joy,Gli operai si alzano presto,short
gio-f1-b2.wav,female,4,joy,I vigili sono muniti di pistola,short
gio-f1-b3.wav,female,4,joy,La cascata fa molto rumore,short
gio-f1-d1.wav,female,4,joy,Sabato sera cosa fara?,domanda
gio-f1-d2.wav,female,4,joy,Porti con te quella cosa?,domanda
gio-f1-l1.wav,female,4,joy,L autunno prossimo Tony partira per la Spagna: nella prima meta di ottobre,long
gio-f1-l2.wav,female,4,joy,Ora prendo la felpa di la ed esco per fare una passeggiata,long
gio-f1-l3.wav,female,4,joy,Un attimo dopo s e incamminato ed e inciampato,long
gio-f1-l4.wav,female,4,joy,Vorrei il numero telefonico del Signor Piatti,long
gio-f1-n1.wav,female,4,joy,La casa forte vuole col pane,nosense
gio-f1-n2.wav,female,4,joy,La forza trova il passo e l aglio rosso,nosense
gio-f1-n3.wav,female,4,joy,Il gatto sta scorrendo nella pera,nosense
gio-f1-n4.wav,female,4,joy,Insalata pastasciutta coscia d agnello limoncello,nosense
gio-f1-n5.wav,female,4,joy,Uno quarantatre dieci mille cinquantasette venti,nosense
gio-f2-b1.wav,female,5,joy,Gli operai si alzano presto,short
gio-f2-b2.wav,female,5,joy,I vigili sono muniti di pistola,short
gio-f2-b3.wav,female,5,joy,La cascata fa molto rumore,short
gio-f2-d1.wav,female,5,joy,Sabato sera cosa fara?,domanda
gio-f2-d2.wav,female,5,joy,Porti con te quella cosa?,domanda
gio-f2-l1.wav,female,5,joy,L autunno prossimo Tony partira per la Spagna: nella prima meta di ottobre,long
gio-f2-l2.wav,female,5,joy,Ora prendo la felpa di la ed esco per fare una passeggiata,long
gio-f2-l3.wav,female,5,joy,Un attimo dopo s e incamminato ed e inciampato,long
gio-f2-l4.wav,female,5,joy,Vorrei il numero telefonico del Signor Piatti,long
gio-f2-n1.wav,female,5,joy,La casa forte vuole col pane,nosense
gio-f2-n2.wav,female,5,joy,La forza trova il passo e l aglio rosso,nosense
gio-f2-n3.wav,female,5,joy,Il gatto sta scorrendo nella pera,nosense
gio-f2-n4.wav,female,5,joy,Insalata pastasciutta coscia d agnello limoncello,nosense
gio-f2-n5.wav,female,5,joy,Uno quarantatre dieci mille cinquantasette venti,nosense
gio-f3-b1.wav,female,6,joy,Gli operai si alzano presto,short
gio-f3-b2.wav,female,6,joy,I vigili sono muniti di pistola,short
gio-f3-b3.wav,female,6,joy,La cascata fa molto rumore,short
gio-f3-d1.wav,female,6,joy,Sabato sera cosa fara?,domanda
gio-f3-d2.wav,female,6,joy,Porti con te quella cosa?,domanda
gio-f3-l1.wav,female,6,joy,L autunno prossimo Tony partira per la Spagna: nella prima meta di ottobre,long
gio-f3-l2.wav,female,6,joy,Ora prendo la felpa di la ed esco per fare una passeggiata,long
